Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	

MNI_MNI.img - 0	SFG_L	19982	38.7721	175.8717	112.2882	23.3412	
MNI_MNI.img - 0	SFG_R	22096	44.2145	182.5022	115.1029	24.1564	
MNI_MNI.img - 0	MFG_L	17471	46.5115	180.0137	111.6017	23.8842	
MNI_MNI.img - 0	MFG_R	18288	40.7229	186.5206	111.8942	24.0545	
MNI_MNI.img - 0	IFG_L	9812	36.3553	192.3922	114.7092	25.2884	
MNI_MNI.img - 0	IFG_R	8511	44.5400	184.0075	117.0166	25.3991	
MNI_MNI.img - 0	OG_L	8394	42.0991	173.5685	109.5185	23.5799	
MNI_MNI.img - 0	OG_R	8665	29.9906	184.4761	107.7293	23.8053	
MNI_MNI.img - 0	RG_L	5949	45.0985	188.1243	102.8138	25.9967	
MNI_MNI.img - 0	RG_R	6105	51.2900	188.8914	108.3043	26.4835	
MNI_MNI.img - 0	PoCG_L	10527	47.6759	177.5765	119.1475	23.5272	
MNI_MNI.img - 0	PoCG_R	8875	30.8780	182.0575	119.8540	23.5531	
MNI_MNI.img - 0	PrCG_L	12510	46.3634	176.2018	118.1531	22.1230	
MNI_MNI.img - 0	PrCG_R	13256	42.3586	188.5548	120.5874	22.9792	
MNI_MNI.img - 0	SPG_L	6198	52.0346	178.4430	121.8820	24.9239	
MNI_MNI.img - 0	SPG_R	4431	59.6722	184.3578	123.7292	25.1064	
MNI_MNI.img - 0	SMG_L	6673	46.3282	180.7159	114.0343	25.0553	
MNI_MNI.img - 0	SMG_R	5906	51.2328	196.9642	114.8201	23.5817	
MNI_MNI.img - 0	AG_L	6160	44.6819	180.2569	113.3489	24.3986	
MNI_MNI.img - 0	AG_R	8791	35.4011	183.0308	113.7012	24.9143	
MNI_MNI.img - 0	PrCu_L	7395	38.5046	188.4417	113.6790	24.7970	
MNI_MNI.img - 0	PrCu_R	7640	41.5169	191.3773	112.6308	23.9998	
MNI_MNI.img - 0	STG_L	14130	42.3620	182.8462	106.8622	21.8059	
MNI_MNI.img - 0	STG_R	14331	28.6236	186.7751	108.3936	20.9198	
MNI_MNI.img - 0	MTG_L	11467	42.0110	184.9396	104.5385	24.6310	
MNI_MNI.img - 0	MTG_R	11814	39.5691	196.4624	103.8740	23.7627	
MNI_MNI.img - 0	ITG_L	8511	26.3075	176.5476	100.2007	25.2791	
MNI_MNI.img - 0	ITG_R	10443	26.1262	176.6090	104.5303	24.6259	
MNI_MNI.img - 0	Limbic_L	1672	72.7076	184.1131	118.9613	20.6492	
MNI_MNI.img - 0	Limbic_R	1916	60.6621	191.2651	122.5892	22.5349	
MNI_MNI.img - 0	FuG_L	15543	25.3128	189.3166	103.0100	25.2713	
MNI_MNI.img - 0	FuG_R	15829	30.5538	185.5229	104.7245	22.7402	
MNI_MNI.img - 0	SOG_L	2449	56.8674	200.2987	120.7753	25.5038	
MNI_MNI.img - 0	SOG_R	2333	42.4753	177.5459	115.7366	23.4048	
MNI_MNI.img - 0	MOG_L	12171	34.7337	173.0822	107.8193	25.9833	
MNI_MNI.img - 0	MOG_R	11994	28.9083	182.1651	107.3940	24.6369	
MNI_MNI.img - 0	IOG_L	3669	38.2849	173.3936	105.6950	26.3209	
MNI_MNI.img - 0	IOG_R	5087	31.4360	164.1537	102.9446	24.5839	
MNI_MNI.img - 0	Cu_L	5731	37.6796	175.0360	114.1165	24.8872	
MNI_MNI.img - 0	Cu_R	5203	39.6312	184.8370	112.5671	23.8835	
MNI_MNI.img - 0	LG_L	9959	25.2750	182.6626	108.4518	25.9155	
MNI_MNI.img - 0	LG_R	10553	24.8784	177.0329	107.8771	24.5225	
MNI_MNI.img - 0	Cingulate_L	26015	25.9378	186.6449	104.0726	23.7386	
MNI_MNI.img - 0	Cingulate_R	28167	26.7758	191.7183	100.9783	23.0951	
MNI_MNI.img - 0	Insula_L	9225	40.4588	163.1078	105.1501	20.9067	
MNI_MNI.img - 0	Insula_R	8718	48.3830	170.5390	111.4667	22.2043	
MNI_MNI.img - 0	Amyg_L	1806	76.2051	172.0664	111.2090	14.9650	
MNI_MNI.img - 0	Amyg_R	1910	83.6283	159.4301	115.5881	14.6610	
MNI_MNI.img - 0	Hippo_L	4666	49.0066	175.5581	104.6094	19.5391	
MNI_MNI.img - 0	Hippo_R	4606	51.6447	167.9142	107.6289	18.4248	
MNI_MNI.img - 0	Caud_L	4043	80.4292	186.2568	129.6144	19.0174	
