Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	

MNI_MNI.img - 0	SF_L	17806	47.4625	218.1323	144.1038	41.2237	
MNI_MNI.img - 0	SF_R	16450	51.2530	213.2860	147.6154	40.0505	
MNI_MNI.img - 0	SF_PFC_L	15161	38.7721	212.5765	144.0678	41.4097	
MNI_MNI.img - 0	SF_PFC_R	19933	44.2145	214.8232	150.3747	41.8301	
MNI_MNI.img - 0	SF_pole_L	1661	61.8437	199.9389	122.1392	30.4421	
MNI_MNI.img - 0	SF_pole_R	3696	58.6238	208.9966	128.4739	32.7724	
MNI_MNI.img - 0	MF_L	15926	46.5115	209.8649	144.1882	39.5660	
MNI_MNI.img - 0	MF_R	14106	50.2605	210.5131	145.7296	39.9293	
MNI_MNI.img - 0	MF_DPFC_L	12182	46.7761	211.4021	128.3650	36.3017	
MNI_MNI.img - 0	MF_DPFC_R	14934	40.7229	212.7993	130.7344	38.5018	
MNI_MNI.img - 0	IF_opercularis_L	5914	61.1113	210.6856	139.6968	41.1648	
MNI_MNI.img - 0	IF_opercularis_R	6192	57.1540	213.9282	150.6431	41.7261	
MNI_MNI.img - 0	IF_orbitalis_L	5943	36.3553	214.8692	148.2170	42.9746	
MNI_MNI.img - 0	IF_orbitalis_R	4982	44.5400	219.6865	149.6340	42.5831	
MNI_MNI.img - 0	IF_triangularis_L	6223	49.2911	210.4459	155.1968	38.8894	
MNI_MNI.img - 0	IF_triangularis_R	5045	45.9442	213.5012	154.3114	39.9003	
MNI_MNI.img - 0	LFO_L	5745	46.0575	216.2647	128.2559	37.5860	
MNI_MNI.img - 0	LFO_R	5872	29.9906	224.6745	127.0472	37.1153	
MNI_MNI.img - 0	MFO_L	5935	42.0991	215.3445	129.7686	38.1267	
MNI_MNI.img - 0	MFO_R	5696	35.7529	214.6493	123.1641	37.1357	
MNI_MNI.img - 0	R_L	7589	45.0985	208.1570	118.4037	38.1798	
MNI_MNI.img - 0	R_R	8380	51.2900	212.7245	127.4924	39.3954	
MNI_MNI.img - 0	PoC_L	19679	47.6759	217.0479	149.0661	37.5124	
MNI_MNI.img - 0	PoC_R	17651	30.8780	218.0239	151.1460	37.0126	
MNI_MNI.img - 0	PrC_L	24817	46.3634	212.4487	151.0378	37.8318	
MNI_MNI.img - 0	PrC_R	26842	42.3586	217.2998	154.0359	37.7700	
MNI_MNI.img - 0	SP_L	14286	52.0346	211.5206	160.5018	38.3685	
MNI_MNI.img - 0	SP_R	11699	59.6722	223.2191	166.3570	37.7262	
MNI_MNI.img - 0	SM_L	10816	46.3282	212.9030	139.9355	39.1551	
MNI_MNI.img - 0	SM_R	9533	51.2328	210.9993	141.2823	39.2816	
MNI_MNI.img - 0	A_L	10100	44.6819	204.2813	139.8112	38.9804	
MNI_MNI.img - 0	A_R	13722	35.4011	212.3206	138.2543	39.1967	
MNI_MNI.img - 0	PrCu_L	10056	38.5046	211.2767	131.1315	36.7348	
MNI_MNI.img - 0	PrCu_R	10549	41.5169	217.8648	131.1783	37.2541	
MNI_MNI.img - 0	ST_L	18696	42.3620	215.4616	140.5807	40.5630	
MNI_MNI.img - 0	ST_R	20180	28.6236	219.1926	142.9780	40.3118	
MNI_MNI.img - 0	ST_L_pole	4603	51.4795	193.1857	113.2858	30.9954	
MNI_MNI.img - 0	ST_R_pole	4373	51.7502	201.0838	116.6979	31.8144	
MNI_MNI.img - 0	MT_L	19597	42.0110	212.9439	140.4961	45.3895	
MNI_MNI.img - 0	MT_R	21532	39.5691	219.5043	143.0020	45.7060	
MNI_MNI.img - 0	MT_L_pole	1311	57.6767	210.9989	147.4416	39.4342	
MNI_MNI.img - 0	MT_R_pole	1220	64.6476	213.7227	147.1143	40.6207	
MNI_MNI.img - 0	IT_L	13018	26.3075	208.3392	126.2383	42.0973	
MNI_MNI.img - 0	IT_R	14922	26.1262	215.7182	126.9486	40.7973	
MNI_MNI.img - 0	PHG_L	1205	72.7076	184.1131	118.0866	21.3195	
MNI_MNI.img - 0	PHG_R	1324	60.6621	191.2651	123.3085	23.0098	
MNI_MNI.img - 0	ENT_L	467	83.7918	172.2798	121.2181	18.6207	
MNI_MNI.img - 0	ENT_R	592	83.7212	186.0551	120.9805	21.3472	
MNI_MNI.img - 0	Fu_L	20040	25.3128	209.4457	118.4284	36.9940	
MNI_MNI.img - 0	Fu_R	20566	30.5538	208.7867	120.1831	35.2868	
MNI_MNI.img - 0	SO_L	6379	56.8674	210.8246	161.0900	36.9824	
