Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

MNI_MNI.img	Telencephalon_L	484439	25.2750	231.1373	147.5106	43.0700	
MNI_MNI.img	Telencephalon_R	497444	24.8784	234.0877	147.9359	43.0367	
MNI_MNI.img	Diencephalon_L	10204	44.8943	222.8716	161.8178	20.8904	
MNI_MNI.img	Diencephalon_R	10216	44.6248	217.1434	160.6177	21.3158	
MNI_MNI.img	Mesencephalon	12932	115.9245	238.2633	192.8637	17.8627	
MNI_MNI.img	Metencephalon	152334	27.1158	233.0371	138.8096	38.8211	
MNI_MNI.img	Myelencephalon	5681	0.0000e+00	227.3000	176.1389	31.9300	
MNI_MNI.img	CSF	153006	8.4001	175.9578	57.8703	22.9291	



Type1-L2 Statistics

MNI_MNI.img	CerebralCortex_L	236279	25.2750	200.2987	109.5933	24.7151	
MNI_MNI.img	CerebralCortex_R	243558	24.8784	196.9642	110.0816	24.4218	
MNI_MNI.img	CerebralNucli_L	14193	76.2051	216.6713	141.5806	25.9266	
MNI_MNI.img	CerebralNucli_R	14676	82.5775	218.8680	143.0905	25.6581	
MNI_MNI.img	Thalamus_L	6967	117.8069	202.5743	163.5141	15.5783	
MNI_MNI.img	Thalamus_R	6930	114.5473	204.0684	161.5153	16.8637	
MNI_MNI.img	BasalForebrain_L	3237	44.8943	222.8716	158.1669	28.8763	
MNI_MNI.img	BasalForebrain_R	3286	44.6248	217.1434	158.7246	28.4176	
MNI_MNI.img	Mesencephalon_L	6380	126.1356	238.1416	192.6080	17.2447	
MNI_MNI.img	Mesencephalon_R	6552	115.9245	238.2633	193.1127	18.4411	
MNI_MNI.img	Metencephalon_R	76918	37.1814	231.8558	139.6553	38.4050	
MNI_MNI.img	Metencephalon_L	75416	27.1158	233.0371	137.9470	39.2222	
MNI_MNI.img	Myelencephalon_L	2781	0.0000e+00	225.6097	176.5358	33.5616	
MNI_MNI.img	Myelencephalon_R	2900	0.0000e+00	227.3000	175.7583	30.2781	
MNI_MNI.img	WhiteMatter_L	233967	28.1317	231.1373	186.1623	15.3379	
MNI_MNI.img	WhiteMatter_R	239210	59.9364	234.0877	186.7755	15.3297	
MNI_MNI.img	Ventricle	34494	8.4001	175.9578	58.8100	35.8800	
MNI_MNI.img	Sulcus_L	61812	12.7065	112.2530	57.6196	17.0468	
MNI_MNI.img	Sulcus_R	56700	11.8986	110.9413	57.5718	17.8341	



Type1-L3 Statistics

MNI_MNI.img	Frontal_L	74118	36.3553	192.3922	112.3627	24.0954	
MNI_MNI.img	Frontal_R	76921	29.9906	188.8914	114.1267	24.5754	
MNI_MNI.img	Parietal_L	36953	38.5046	188.4417	116.6218	24.6721	
MNI_MNI.img	Parietal_R	35643	30.8780	196.9642	116.4358	24.4968	
MNI_MNI.img	Temporal_L	49651	25.3128	189.3166	103.9777	24.2915	
MNI_MNI.img	Temporal_R	52417	26.1262	196.4624	105.4973	22.9598	
MNI_MNI.img	Limbic_L	34159	25.9378	186.6449	105.2520	22.9395	
MNI_MNI.img	Limbic_R	36599	26.7758	191.7183	103.7091	22.9068	
MNI_MNI.img	Occipital_L	33979	25.2750	200.2987	109.7712	26.0846	
MNI_MNI.img	Occipital_R	35170	24.8784	184.8370	108.2141	24.6255	
MNI_MNI.img	Insula_L	9225	40.4588	163.1078	105.1501	20.9067	
MNI_MNI.img	Insula_R	8718	48.3830	170.5390	111.4667	22.2043	
MNI_MNI.img	BasalGang_L	12387	80.4292	216.6713	146.0088	24.1545	
MNI_MNI.img	BasalGang_R	12766	82.5775	218.8680	147.2053	24.3840	
MNI_MNI.img	Thalamus_L	6967	117.8069	202.5743	163.5141	15.5783	
MNI_MNI.img	Thalamus_R	6930	114.5473	204.0684	161.5153	16.8637	
MNI_MNI.img	BasalForebrain_L	3237	44.8943	222.8716	158.1669	28.8763	
MNI_MNI.img	BasalForebrain_R	3286	44.6248	217.1434	158.7246	28.4176	
MNI_MNI.img	midbrain_L	6380	126.1356	238.1416	192.6080	17.2447	
MNI_MNI.img	midbrain_R	6552	115.9245	238.2633	193.1127	18.4411	
MNI_MNI.img	Cerebellum_R	67432	37.1814	231.8558	132.2701	34.8986	
MNI_MNI.img	Cerebellum_L	66521	27.1158	230.6805	130.6210	35.6001	
MNI_MNI.img	Pons_L	8895	116.6742	233.0371	192.7346	12.7297	
MNI_MNI.img	Pons_R	9486	128.0890	229.3414	192.1539	12.5806	
