Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

MNI.img	Telencephalon_L	512425	26.0000	467.0000	270.5921	85.2799	
MNI.img	Telencephalon_R	527084	0.0000e+00	486.0000	279.8548	88.4950	
MNI.img	Diencephalon_L	10784	59.0000	439.0000	304.2796	43.1117	
MNI.img	Diencephalon_R	10758	63.0000	423.0000	301.1549	44.5655	
MNI.img	Mesencephalon	13564	172.0000	467.0000	347.6727	38.3985	
MNI.img	Metencephalon	157970	36.0000	437.0000	245.9320	64.6928	
MNI.img	Myelencephalon	5843	0.0000e+00	389.0000	288.4335	49.9907	
MNI.img	CSF	160887	0.0000e+00	419.0000	104.0871	47.8655	



Type1-L2 Statistics

MNI.img	CerebralCortex_L	249935	26.0000	403.0000	196.9688	49.2435	
MNI.img	CerebralCortex_R	257681	0.0000e+00	407.0000	203.4059	49.6850	
MNI.img	CerebralNucli_L	15125	116.0000	406.0000	266.6177	49.7771	
MNI.img	CerebralNucli_R	15941	103.0000	431.0000	270.6415	51.8554	
MNI.img	Thalamus_L	7279	190.0000	394.0000	309.1768	29.4341	
MNI.img	Thalamus_R	7320	156.0000	405.0000	306.5657	33.2105	
MNI.img	BasalForebrain_L	3505	59.0000	439.0000	294.1093	61.3680	
MNI.img	BasalForebrain_R	3438	63.0000	423.0000	289.6344	60.5918	
MNI.img	Mesencephalon_L	6562	219.0000	467.0000	346.9695	36.4287	
MNI.img	Mesencephalon_R	7002	172.0000	465.0000	348.3316	40.1456	
MNI.img	Metencephalon_R	80118	40.0000	437.0000	252.2284	64.2901	
MNI.img	Metencephalon_L	77852	36.0000	391.0000	239.4523	64.4658	
MNI.img	Myelencephalon_L	2857	0.0000e+00	382.0000	285.1257	51.7000	
MNI.img	Myelencephalon_R	2986	0.0000e+00	389.0000	291.5985	48.0862	
MNI.img	WhiteMatter_L	247365	43.0000	467.0000	345.2234	37.6358	
MNI.img	WhiteMatter_R	253462	68.0000	486.0000	358.1558	39.0989	
MNI.img	Ventricle	35769	10.0000	419.0000	110.0635	72.3029	
MNI.img	Sulcus_L	65447	0.0000e+00	244.0000	101.4831	36.8770	
MNI.img	Sulcus_R	59671	0.0000e+00	235.0000	103.3607	39.0226	



Type1-L3 Statistics

MNI.img	Frontal_L	77678	57.0000	403.0000	202.6861	47.4577	
MNI.img	Frontal_R	81429	0.0000e+00	389.0000	204.6191	49.2627	
MNI.img	Parietal_L	39662	54.0000	360.0000	205.1303	49.7700	
MNI.img	Parietal_R	37702	48.0000	394.0000	215.4247	50.3389	
MNI.img	Temporal_L	53384	26.0000	360.0000	183.1300	47.8874	
MNI.img	Temporal_R	55681	0.0000e+00	388.0000	196.5820	48.4222	
MNI.img	Limbic_L	35356	36.0000	389.0000	200.0436	47.7269	
MNI.img	Limbic_R	38281	35.0000	407.0000	198.9930	48.0071	
MNI.img	Occipital_L	36125	29.0000	382.0000	194.1495	52.0003	
MNI.img	Occipital_R	37254	34.0000	377.0000	204.0827	51.2240	
MNI.img	Insula_L	9669	64.0000	351.0000	193.5297	42.7371	
MNI.img	Insula_R	9378	51.0000	359.0000	200.6651	45.8044	
MNI.img	BasalGang_L	13186	129.0000	406.0000	276.6576	44.0202	
MNI.img	BasalGang_R	13897	103.0000	431.0000	280.3472	46.7875	
MNI.img	Thalamus_L	7279	190.0000	394.0000	309.1768	29.4341	
MNI.img	Thalamus_R	7320	156.0000	405.0000	306.5657	33.2105	
MNI.img	BasalForebrain_L	3505	59.0000	439.0000	294.1093	61.3680	
MNI.img	BasalForebrain_R	3438	63.0000	423.0000	289.6344	60.5918	
MNI.img	midbrain_L	6562	219.0000	467.0000	346.9695	36.4287	
MNI.img	midbrain_R	7002	172.0000	465.0000	348.3316	40.1456	
MNI.img	Cerebellum_R	70237	40.0000	437.0000	242.7807	62.4397	
MNI.img	Cerebellum_L	68707	36.0000	391.0000	229.0597	60.9631	
MNI.img	Pons_L	9145	174.0000	390.0000	317.5330	23.4224	
MNI.img	Pons_R	9881	143.0000	391.0000	319.3855	25.6025	
MNI.img	Medulla_L	2857	0.0000e+00	382.0000	285.1257	51.7000	
MNI.img	Medulla_R	2986	0.0000e+00	389.0000	291.5985	48.0862	
MNI.img	AnteriorWM_L	86691	128.0000	443.0000	348.8524	32.6239	
MNI.img	AnteriorWM_R	92386	114.0000	446.0000	354.8305	33.8277	
MNI.img	PosteriorWM_L	73349	128.0000	419.0000	335.2909	35.5380	
